iter	RMSE
0	14.50590318
1	14.13533298
2	13.76340873
3	13.44186719
4	13.09905807
5	12.75021278
6	12.44963251
7	12.17696938
8	11.90733304
9	11.6217726
10	11.34378544
11	11.12101618
12	10.88687181
13	10.63950292
14	10.42230431
15	10.2098288
16	9.991041029
17	9.783881967
18	9.59709199
19	9.422911494
20	9.237511499
21	9.063973053
22	8.886453213
23	8.738954093
24	8.587248654
25	8.435502123
26	8.284569115
27	8.155921181
28	8.026711811
29	7.903037375
30	7.779317876
31	7.677446836
32	7.582760148
33	7.481902884
34	7.37989701
35	7.295355215
36	7.20484592
37	7.139196813
38	7.062740358
39	6.980635647
40	6.894610304
41	6.820009045
42	6.754011024
43	6.68499623
44	6.620594464
45	6.557682293
46	6.500836835
47	6.443378121
48	6.393147769
49	6.346120988
50	6.304391414
51	6.256891995
52	6.214335713
53	6.167855069
54	6.130601072
55	6.084734654
56	6.050754688
57	6.017089002
58	5.983513319
59	5.950363904
60	5.914922361
61	5.880546224
62	5.852285957
63	5.81922999
64	5.791538246
65	5.7633616
66	5.734532011
67	5.720203883
68	5.694135462
69	5.673490081
70	5.646645916
71	5.624840623
72	5.60333443
73	5.585155859
74	5.564710311
75	5.547779175
76	5.530614166
77	5.517597419
78	5.494896889
79	5.479845042
80	5.466378058
81	5.453810271
82	5.438320076
83	5.427728432
84	5.413681747
85	5.400467473
86	5.387719491
87	5.374176333
88	5.361434915
89	5.34593108
90	5.334572893
91	5.32397497
92	5.31503281
93	5.304133888
94	5.293052035
95	5.28181266
96	5.272686556
97	5.264964653
98	5.25515178
99	5.246305066
100	5.236631512
101	5.228556646
102	5.219427551
103	5.210014195
104	5.20366439
105	5.196635567
106	5.189188365
107	5.182598143
108	5.176831831
109	5.16837108
110	5.162325347
111	5.1567835
112	5.153924252
113	5.14773464
114	5.144961729
115	5.137894606
116	5.127397202
117	5.121521208
118	5.118257088
119	5.110406008
120	5.108156256
121	5.103217211
122	5.098143267
123	5.094354397
124	5.090022975
125	5.083620303
126	5.079812264
127	5.077101124
128	5.071783994
129	5.062376731
130	5.058504076
131	5.051212949
132	5.048053889
133	5.044041195
134	5.0384231
135	5.033890614
136	5.027954728
137	5.022233471
138	5.018192517
139	5.013187343
140	5.009159364
141	5.004991133
142	5.001302047
143	4.998788218
144	4.994263029
145	4.991314039
146	4.984386776
147	4.981604566
148	4.975697641
149	4.973665067
150	4.966996271
151	4.963125312
152	4.959784333
153	4.955067737
154	4.947793591
155	4.944446344
156	4.938365774
157	4.930884115
158	4.928298148
159	4.923363394
160	4.919426268
161	4.917803844
162	4.913174726
163	4.909171511
164	4.905985287
165	4.902293151
166	4.898653214
167	4.896441095
168	4.891881023
169	4.889277305
170	4.886457945
171	4.883467604
172	4.880388392
173	4.877096471
174	4.868996354
175	4.862614689
176	4.860444805
177	4.855412739
178	4.848507277
179	4.845529483
180	4.842753572
181	4.838773081
